"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group E","master's degree","free/reduced","none","78","81","74"
"male","group D","high school","standard","none","57","58","51"
"male","group E","associate's degree","standard","none","84","65","69"
"male","group A","some high school","standard","completed","36","44","43"
"male","group D","high school","standard","none","67","59","58"
"female","group A","some high school","free/reduced","completed","71","83","85"
"female","group A","bachelor's degree","standard","completed","86","100","100"
"male","group B","some high school","standard","none","82","79","72"
"female","group D","associate's degree","standard","none","69","74","74"
"male","group B","some college","standard","completed","77","80","82"
"female","group C","high school","standard","none","48","50","52"
"female","group C","bachelor's degree","free/reduced","completed","44","58","63"
"male","group E","associate's degree","free/reduced","none","63","57","54"
"male","group A","high school","standard","none","68","56","56"
"female","group C","some high school","standard","none","78","80","80"
"female","group C","some high school","standard","none","44","39","39"
"female","group B","bachelor's degree","standard","completed","58","74","72"
"male","group B","associate's degree","standard","completed","70","67","65"
"female","group C","associate's degree","standard","none","55","58","63"
"male","group D","some college","standard","none","86","96","93"
"male","group D","some college","standard","completed","67","58","59"
"female","group C","high school","free/reduced","completed","46","61","59"
"male","group A","high school","standard","none","73","66","62"
"female","group C","some college","free/reduced","completed","43","61","62"
"female","group E","associate's degree","standard","completed","81","100","100"
"female","group D","high school","standard","completed","65","72","74"
"female","group A","high school","standard","completed","72","83","75"
"male","group B","associate's degree","standard","none","76","72","69"
"male","group D","associate's degree","standard","none","79","69","70"
"male","group D","bachelor's degree","standard","none","79","53","64"
"female","group B","master's degree","standard","completed","91","99","100"
"female","group D","high school","standard","none","57","58","62"
"male","group C","some college","standard","none","68","59","56"
"male","group B","master's degree","standard","none","71","69","74"
"female","group C","some college","standard","none","79","83","79"
"female","group B","associate's degree","standard","none","54","71","67"
"female","group C","some college","standard","completed","67","73","80"
"female","group C","associate's degree","standard","completed","68","76","72"
"female","group B","some college","free/reduced","none","68","79","76"
"female","group A","high school","free/reduced","completed","61","66","66"
"female","group D","some high school","standard","none","60","74","74"
"male","group A","some high school","standard","none","58","57","55"
"female","group C","bachelor's degree","standard","none","86","87","80"
"male","group B","some college","standard","completed","82","82","80"
"female","group E","high school","standard","none","81","77","77"
"male","group E","master's degree","standard","none","84","71","68"
"female","group D","some high school","standard","none","70","70","78"
