"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group C","high school","free/reduced","completed","83","78","75"
"male","group E","some college","standard","completed","84","67","67"
"male","group E","some college","standard","completed","87","84","87"
"male","group C","some college","standard","none","81","77","68"
"female","group C","master's degree","standard","none","66","68","68"
"female","group D","high school","standard","none","61","65","64"
"female","group D","high school","free/reduced","none","77","81","83"
"female","group B","associate's degree","free/reduced","none","56","72","69"
"male","group C","some high school","standard","none","31","28","24"
"female","group B","some college","standard","none","66","83","85"
"female","group C","some high school","standard","none","42","61","60"
"male","group C","associate's degree","standard","completed","79","79","77"
"male","group C","some college","standard","completed","76","78","76"
"female","group D","some high school","free/reduced","none","42","63","59"
"male","group B","associate's degree","standard","completed","73","77","76"
"male","group D","some college","standard","none","74","67","70"
"male","group D","bachelor's degree","standard","completed","73","77","77"
"male","group C","bachelor's degree","standard","none","59","53","49"
"female","group B","some high school","free/reduced","none","25","38","33"
"male","group C","some college","free/reduced","none","56","59","60"
"male","group C","master's degree","free/reduced","completed","57","64","64"
"female","group D","bachelor's degree","standard","completed","69","84","88"
"female","group A","bachelor's degree","standard","none","66","67","73"
"male","group C","some college","standard","completed","83","86","88"
"female","group C","bachelor's degree","standard","none","69","77","72"
"female","group C","some college","free/reduced","none","44","55","54"
"male","group C","some college","free/reduced","none","70","64","55"
"male","group D","some high school","standard","completed","67","73","73"
"male","group D","some college","standard","completed","98","97","95"
"female","group C","associate's degree","free/reduced","completed","50","59","62"
"female","group D","associate's degree","standard","completed","70","79","80"
"male","group E","associate's degree","standard","none","81","84","84"
"male","group D","some college","standard","none","82","63","66"
"male","group D","some high school","standard","none","73","70","72"
"female","group C","associate's degree","standard","none","88","91","97"
"female","group D","associate's degree","free/reduced","completed","63","77","79"
"female","group D","high school","free/reduced","none","57","64","59"
"male","group C","high school","standard","none","83","82","71"
"male","group B","high school","standard","none","55","41","37"
"female","group A","some college","free/reduced","none","49","58","58"
"male","group B","associate's degree","standard","none","88","86","82"
"female","group D","high school","free/reduced","none","49","68","66"
"female","group D","some high school","standard","none","64","75","74"
"male","group C","high school","standard","none","75","72","65"
"male","group D","master's degree","free/reduced","completed","74","78","78"
"female","group A","some high school","standard","none","53","63","57"
"female","group A","some high school","standard","none","48","59","62"
"female","group C","some college","free/reduced","none","53","66","62"
"female","group B","some high school","standard","none","44","59","56"
"male","group A","associate's degree","free/reduced","none","78","65","65"
"male","group D","some college","free/reduced","none","59","56","54"
"male","group E","master's degree","free/reduced","none","83","72","68"
